nome;estacao_cod;latitude;longitude;data;max_temp;min_temp;amplitude
BARBACENA;A502;-21.228333;-43.767778;2020-07-07;23.20;12.20;11.00
BARBACENA;A502;-21.228333;-43.767778;2020-07-08;23.80;11.30;12.50
BARBACENA;A502;-21.228333;-43.767778;2020-07-09;25.60;12.40;13.20
BARBACENA;A502;-21.228333;-43.767778;2020-07-10;18.90;13.10;5.80
BARBACENA;A502;-21.228333;-43.767778;2020-07-11;23.80;11.30;12.50
BARBACENA;A502;-21.228333;-43.767778;2020-07-12;24.40;12.00;12.40
BARBACENA;A502;-21.228333;-43.767778;2020-07-13;26.50;12.30;14.20
BARBACENA;A502;-21.228333;-43.767778;2020-07-14;26.60;14.20;12.40
BARBACENA;A502;-21.228333;-43.767778;2020-07-15;20.20;13.90;6.30
BARBACENA;A502;-21.228333;-43.767778;2020-07-16;17.40;13.00;4.40
BARBACENA;A502;-21.228333;-43.767778;2020-07-17;24.20;12.40;11.80
BARBACENA;A502;-21.228333;-43.767778;2020-07-18;20.00;13.60;6.40
BARBACENA;A502;-21.228333;-43.767778;2020-07-19;20.80;11.40;9.40
BARBACENA;A502;-21.228333;-43.767778;2020-07-20;23.20;12.70;10.50
BARBACENA;A502;-21.228333;-43.767778;2020-07-21;24.80;12.70;12.10
BARBACENA;A502;-21.228333;-43.767778;2020-07-22;25.70;11.30;14.40
BARBACENA;A502;-21.228333;-43.767778;2020-07-23;23.40;12.10;11.30
BARBACENA;A502;-21.228333;-43.767778;2020-07-24;23.30;12.10;11.20
BARBACENA;A502;-21.228333;-43.767778;2020-07-25;25.10;12.80;12.30
BARBACENA;A502;-21.228333;-43.767778;2020-07-26;23.30;12.60;10.70
BARBACENA;A502;-21.228333;-43.767778;2020-07-27;19.30;14.50;4.80
BARBACENA;A502;-21.228333;-43.767778;2020-07-28;25.00;12.20;12.80
BARBACENA;A502;-21.228333;-43.767778;2020-07-29;24.80;11.40;13.40
BARBACENA;A502;-21.228333;-43.767778;2020-07-30;20.50;13.80;6.70
